5485,88,0.0,0
5466,851,0.0,0
5562,284,0.0,0
5298,91,0.0,0
5519,84,0.0,0
5463,88,0.25,0
5097,851,0.25,0
4939,284,0.25,0
5019,91,0.25,0
4882,84,0.25,0
5170,88,0.5,0
5008,851,0.5,0
4958,284,0.5,0
5119,91,0.5,0
4957,84,0.5,0
4886,88,1.0,0
4804,851,1.0,0
4803,284,1.0,0
4863,91,1.0,0
4998,84,1.0,0
4783,88,2.0,0
4798,851,2.0,0
4783,284,2.0,0
4815,91,2.0,0
4816,84,2.0,0
6858,88,0.0,1
6029,851,0.0,1
6264,284,0.0,1
6014,91,0.0,1
7018,84,0.0,1
6358,88,0.25,1
7154,851,0.25,1
6083,284,0.25,1
7415,91,0.25,1
5514,84,0.25,1
7453,88,0.5,1
6550,851,0.5,1
7466,284,0.5,1
7121,91,0.5,1
4957,84,0.5,1
7363,88,1.0,1
6363,851,1.0,1
7446,284,1.0,1
6899,91,1.0,1
7187,84,1.0,1
7467,88,2.0,1
6068,851,2.0,1
7111,284,2.0,1
6181,91,2.0,1
4852,84,2.0,1
6761,88,0.0,2
6146,851,0.0,2
6458,284,0.0,2
7387,91,0.0,2
6570,84,0.0,2
6083,88,0.25,2
7312,851,0.25,2
6083,284,0.25,2
6169,91,0.25,2
7375,84,0.25,2
5259,88,0.5,2
6225,851,0.5,2
5330,284,0.5,2
6033,91,0.5,2
7030,84,0.5,2
5878,88,1.0,2
7395,851,1.0,2
7424,284,1.0,2
6218,91,1.0,2
7165,84,1.0,2
6869,88,2.0,2
6167,851,2.0,2
4787,284,2.0,2
7466,91,2.0,2
7438,84,2.0,2
7180,88,0.0,3
7181,851,0.0,3
7181,284,0.0,3
7181,91,0.0,3
7181,84,0.0,3
7180,88,0.25,3
7181,851,0.25,3
7180,284,0.25,3
7181,91,0.25,3
7181,84,0.25,3
7181,88,0.5,3
7181,851,0.5,3
7181,284,0.5,3
7181,91,0.5,3
7181,84,0.5,3
7181,88,1.0,3
7181,851,1.0,3
7181,284,1.0,3
7181,91,1.0,3
7181,84,1.0,3
7181,88,2.0,3
7181,851,2.0,3
7181,284,2.0,3
7181,91,2.0,3
7181,84,2.0,3
