5292,88,0.0,0
5316,851,0.0,0
4812,284,0.0,0
5189,91,0.0,0
5255,84,0.0,0
5046,88,0.25,0
4905,851,0.25,0
4815,284,0.25,0
4902,91,0.25,0
5348,84,0.25,0
4793,88,0.5,0
4940,851,0.5,0
4898,284,0.5,0
4826,91,0.5,0
5533,84,0.5,0
4796,88,1.0,0
4793,851,1.0,0
4785,284,1.0,0
4806,91,1.0,0
4846,84,1.0,0
4787,88,2.0,0
4869,851,2.0,0
4788,284,2.0,0
4786,91,2.0,0
4795,84,2.0,0
5292,88,0.0,1
6187,851,0.0,1
5440,284,0.0,1
7419,91,0.0,1
6226,84,0.0,1
7214,88,0.25,1
7363,851,0.25,1
6128,284,0.25,1
7466,91,0.25,1
6448,84,0.25,1
7449,88,0.5,1
6903,851,0.5,1
5774,284,0.5,1
7466,91,0.5,1
6409,84,0.5,1
7033,88,1.0,1
5761,851,1.0,1
4785,284,1.0,1
7437,91,1.0,1
6232,84,1.0,1
7466,88,2.0,1
6018,851,2.0,1
6395,284,2.0,1
7466,91,2.0,1
6428,84,2.0,1
6713,88,0.0,2
7012,851,0.0,2
7464,284,0.0,2
7463,91,0.0,2
7399,84,0.0,2
7217,88,0.25,2
6622,851,0.25,2
5545,284,0.25,2
4902,91,0.25,2
7213,84,0.25,2
7448,88,0.5,2
6910,851,0.5,2
7359,284,0.5,2
6372,91,0.5,2
6511,84,0.5,2
7048,88,1.0,2
5768,851,1.0,2
4785,284,1.0,2
7454,91,1.0,2
6850,84,1.0,2
4787,88,2.0,2
6019,851,2.0,2
6397,284,2.0,2
7462,91,2.0,2
6895,84,2.0,2
7181,88,0.0,3
7180,851,0.0,3
7181,284,0.0,3
7181,91,0.0,3
7181,84,0.0,3
7181,88,0.25,3
7181,851,0.25,3
7181,284,0.25,3
7181,91,0.25,3
7180,84,0.25,3
7181,88,0.5,3
7181,851,0.5,3
7181,284,0.5,3
7181,91,0.5,3
7181,84,0.5,3
7181,88,1.0,3
7181,851,1.0,3
7181,284,1.0,3
7181,91,1.0,3
7181,84,1.0,3
7181,88,2.0,3
7181,851,2.0,3
7181,284,2.0,3
7181,91,2.0,3
7181,84,2.0,3
