2075,88,0.0,0
2259,851,0.0,0
2378,284,0.0,0
2148,91,0.0,0
2116,84,0.0,0
2109,88,0.25,0
2226,851,0.25,0
2195,284,0.25,0
2108,91,0.25,0
2138,84,0.25,0
2043,88,0.5,0
2180,851,0.5,0
2097,284,0.5,0
2148,91,0.5,0
2173,84,0.5,0
2037,88,1.0,0
2053,851,1.0,0
2078,284,1.0,0
2152,91,1.0,0
2024,84,1.0,0
1997,88,2.0,0
2012,851,2.0,0
2029,284,2.0,0
2076,91,2.0,0
2079,84,2.0,0
2590,88,0.0,1
2554,851,0.0,1
2739,284,0.0,1
2551,91,0.0,1
2629,84,0.0,1
2667,88,0.25,1
2590,851,0.25,1
3100,284,0.25,1
2605,91,0.25,1
2137,84,0.25,1
2559,88,0.5,1
2617,851,0.5,1
3096,284,0.5,1
2527,91,0.5,1
2270,84,0.5,1
2641,88,1.0,1
2601,851,1.0,1
3019,284,1.0,1
2188,91,1.0,1
2453,84,1.0,1
2517,88,2.0,1
2584,851,2.0,1
3087,284,2.0,1
2525,91,2.0,1
2196,84,2.0,1
2571,88,0.0,2
2532,851,0.0,2
2548,284,0.0,2
2935,91,0.0,2
2355,84,0.0,2
2679,88,0.25,2
3061,851,0.25,2
2723,284,0.25,2
2678,91,0.25,2
2837,84,0.25,2
3035,88,0.5,2
2602,851,0.5,2
2550,284,0.5,2
2827,91,0.5,2
2619,84,0.5,2
3050,88,1.0,2
2557,851,1.0,2
2630,284,1.0,2
2751,91,1.0,2
2327,84,1.0,2
2211,88,2.0,2
2575,851,2.0,2
3054,284,2.0,2
2257,91,2.0,2
2473,84,2.0,2
2961,88,0.0,3
2961,851,0.0,3
2961,284,0.0,3
2961,91,0.0,3
2961,84,0.0,3
2961,88,0.25,3
2961,851,0.25,3
2961,284,0.25,3
2961,91,0.25,3
2961,84,0.25,3
2961,88,0.5,3
2961,851,0.5,3
2961,284,0.5,3
2961,91,0.5,3
2961,84,0.5,3
2961,88,1.0,3
2961,851,1.0,3
2961,284,1.0,3
2961,91,1.0,3
2961,84,1.0,3
2961,88,2.0,3
2961,851,2.0,3
2961,284,2.0,3
2961,91,2.0,3
2961,84,2.0,3
