2075,88,0.0,0
2259,851,0.0,0
2378,284,0.0,0
2148,91,0.0,0
2116,84,0.0,0
2001,88,0.25,0
2169,851,0.25,0
2172,284,0.25,0
2230,91,0.25,0
2070,84,0.25,0
2171,88,0.5,0
2262,851,0.5,0
2094,284,0.5,0
2153,91,0.5,0
2074,84,0.5,0
2269,88,1.0,0
2085,851,1.0,0
2101,284,1.0,0
2086,91,1.0,0
2116,84,1.0,0
2301,88,2.0,0
2234,851,2.0,0
2239,284,2.0,0
2212,91,2.0,0
2106,84,2.0,0
2590,88,0.0,1
2554,851,0.0,1
2739,284,0.0,1
2551,91,0.0,1
2629,84,0.0,1
2543,88,0.25,1
2572,851,0.25,1
2842,284,0.25,1
2826,91,0.25,1
2261,84,0.25,1
2705,88,0.5,1
2863,851,0.5,1
2660,284,0.5,1
2153,91,0.5,1
2668,84,0.5,1
2838,88,1.0,1
2720,851,1.0,1
2873,284,1.0,1
2357,91,1.0,1
2629,84,1.0,1
2933,88,2.0,1
2649,851,2.0,1
2777,284,2.0,1
2401,91,2.0,1
2457,84,2.0,1
2635,88,0.0,2
2483,851,0.0,2
2754,284,0.0,2
2414,91,0.0,2
2582,84,0.0,2
2806,88,0.25,2
2587,851,0.25,2
2418,284,0.25,2
2389,91,0.25,2
2586,84,0.25,2
2705,88,0.5,2
2505,851,0.5,2
2361,284,0.5,2
2722,91,0.5,2
2413,84,0.5,2
2544,88,1.0,2
2727,851,1.0,2
2563,284,1.0,2
2340,91,1.0,2
2752,84,1.0,2
2362,88,2.0,2
2578,851,2.0,2
2873,284,2.0,2
2710,91,2.0,2
2726,84,2.0,2
2961,88,0.0,3
2961,851,0.0,3
2961,284,0.0,3
2961,91,0.0,3
2961,84,0.0,3
2961,88,0.25,3
2961,851,0.25,3
2961,284,0.25,3
2961,91,0.25,3
2961,84,0.25,3
2961,88,0.5,3
2961,851,0.5,3
2961,284,0.5,3
2961,91,0.5,3
2961,84,0.5,3
2961,88,1.0,3
2961,851,1.0,3
2961,284,1.0,3
2961,91,1.0,3
2961,84,1.0,3
2961,88,2.0,3
2961,851,2.0,3
2961,284,2.0,3
2961,91,2.0,3
2961,84,2.0,3
