1197,88,0.0,0
1183,851,0.0,0
1181,284,0.0,0
1177,91,0.0,0
1138,84,0.0,0
1245,88,0.25,0
1160,851,0.25,0
1159,284,0.25,0
1220,91,0.25,0
1151,84,0.25,0
1168,88,0.5,0
1197,851,0.5,0
1218,284,0.5,0
1182,91,0.5,0
1152,84,0.5,0
1196,88,1.0,0
1212,851,1.0,0
1189,284,1.0,0
1161,91,1.0,0
1173,84,1.0,0
1153,88,2.0,0
1141,851,2.0,0
1179,284,2.0,0
1178,91,2.0,0
1161,84,2.0,0
1462,88,0.0,1
1251,851,0.0,1
1531,284,0.0,1
1435,91,0.0,1
1553,84,0.0,1
1331,88,0.25,1
1213,851,0.25,1
1315,284,0.25,1
1336,91,0.25,1
1553,84,0.25,1
1533,88,0.5,1
1259,851,0.5,1
1503,284,0.5,1
1287,91,0.5,1
1440,84,0.5,1
1297,88,1.0,1
1295,851,1.0,1
1539,284,1.0,1
1328,91,1.0,1
1412,84,1.0,1
1467,88,2.0,1
1310,851,2.0,1
1539,284,2.0,1
1478,91,2.0,1
1307,84,2.0,1
1512,88,0.0,2
1363,851,0.0,2
1535,284,0.0,2
1291,91,0.0,2
1392,84,0.0,2
1319,88,0.25,2
1374,851,0.25,2
1513,284,0.25,2
1282,91,0.25,2
1544,84,0.25,2
1436,88,0.5,2
1336,851,0.5,2
1450,284,0.5,2
1325,91,0.5,2
1486,84,0.5,2
1190,88,1.0,2
1333,851,1.0,2
1470,284,1.0,2
1525,91,1.0,2
1311,84,1.0,2
1458,88,2.0,2
1425,851,2.0,2
1396,284,2.0,2
1445,91,2.0,2
1548,84,2.0,2
1485,88,0.0,3
1485,851,0.0,3
1485,284,0.0,3
1485,91,0.0,3
1485,84,0.0,3
1485,88,0.25,3
1485,851,0.25,3
1485,284,0.25,3
1485,91,0.25,3
1485,84,0.25,3
1485,88,0.5,3
1485,851,0.5,3
1485,284,0.5,3
1485,91,0.5,3
1485,84,0.5,3
1485,88,1.0,3
1485,851,1.0,3
1485,284,1.0,3
1485,91,1.0,3
1485,84,1.0,3
1485,88,2.0,3
1485,851,2.0,3
1485,284,2.0,3
1485,91,2.0,3
1485,84,2.0,3
